,Date,High,Low,Open,Price
2081,2012-04-26,"1,662.60","1,643.15","1,645.98","1,656.90"
2082,2012-04-25,"1,646.53","1,624.47","1,641.41","1,644.70"
2083,2012-04-24,"1,649.52","1,633.95","1,638.75","1,641.00"
2084,2012-04-23,"1,644.90","1,621.99","1,643.44","1,638.70"
2085,2012-04-20,"1,647.31","1,638.95","1,643.55","1,642.70"
2086,2012-04-19,"1,655.00","1,632.80","1,643.49","1,643.60"
2087,2012-04-18,"1,656.05","1,639.29","1,651.24","1,642.07"
2088,2012-04-17,"1,657.71","1,635.05","1,652.90","1,649.90"
2089,2012-04-16,"1,657.80","1,641.14","1,654.09","1,652.10"
2090,2012-04-13,"1,678.31","1,649.51","1,675.55","1,659.00"
2091,2012-04-12,"1,680.20","1,651.29","1,659.14","1,675.48"
2092,2012-04-11,"1,662.90","1,653.44","1,659.49","1,657.95"
2093,2012-04-10,"1,663.10","1,632.20","1,641.13","1,660.35"
2094,2012-04-09,"1,649.00","1,627.70","1,641.44","1,641.28"
2095,2012-04-06,"1,639.49","1,628.49","1,628.95","1,639.49"
2096,2012-04-05,"1,633.67","1,620.15","1,620.36","1,631.25"
2097,2012-04-04,"1,648.15","1,612.30","1,644.64","1,620.23"
2098,2012-04-03,"1,681.16","1,639.24","1,676.59","1,645.33"
2099,2012-04-02,"1,680.09","1,676.20","1,668.55","1,677.75"
2100,2012-03-30,"1,671.11","1,659.91","1,661.55","1,668.90"
2101,2012-03-29,"1,665.29","1,645.39","1,661.94","1,661.38"
2102,2012-03-28,"1,684.41","1,655.11","1,680.21","1,662.18"
2103,2012-03-27,"1,696.81","1,679.11","1,690.30","1,680.05"
2104,2012-03-26,"1,694.00","1,655.60","1,661.81","1,689.98"
2105,2012-03-23,"1,666.74","1,642.38","1,645.41","1,662.26"
2106,2012-03-22,"1,658.01","1,629.68","1,652.05","1,644.85"
2107,2012-03-21,"1,661.65","1,646.91","1,651.11","1,650.50"
2108,2012-03-20,"1,666.29","1,643.29","1,666.04","1,650.35"
2109,2012-03-19,"1,671.40","1,654.14","1,654.98","1,664.55"
2110,2012-03-16,"1,665.01","1,639.80","1,659.71","1,660.65"
2111,2012-03-15,"1,666.79","1,636.59","1,642.89","1,658.23"
2112,2012-03-14,"1,683.45","1,635.59","1,675.74","1,643.60"
2113,2012-03-13,"1,705.97","1,662.60","1,699.66","1,675.50"
2114,2012-03-12,"1,714.30","1,692.84","1,709.08","1,700.53"
2115,2012-03-09,"1,714.59","1,677.84","1,700.20","1,713.09"
